57;2005-08-27;Reloj de bolsillo;7;En Pozoblanco. Primero de una coleccion;upload/compras_imgiPad de Juan Jose000010_1.jpg; ; ; ; ;;
58;2005-09-06;Caña pescar Juanjo;22;En Caleta de Velez (Malaga); ; ; ; ; ;;
59;2005-09-08;Aire acondicionado Clio;1600; ; ; ; ; ; ;;
60;2005-09-12;USB-SD;10; ;upload/compras_imgiPad de Juan Jose000015_1.jpg; ; ; ; ;;
61;2005-09-15;Monitor TFT 17 Juanjo;189;En Alcampo; ; ; ; ; ;;
62;2005-09-15;Monitor TFT 17 Alvaro;189;En Alcampo; ; ; ; ; ;;
63;2005-09-15;Libros Alvaro 6;124; ; ; ; ; ; ;;
64;2005-09-15;Plancha de asar Team;29; ; ; ; ; ; ;;
65;2005-09-15;Despertador Alvaro;5; ; ; ; ; ; ;;
66;2005-09-19;Gafas juanjo;186;El corte ingles; ; ; ; ; ;;
67;2005-10-08;Raton inalambrico Alvaro;25;En Aldi; ; ; ; ; ;;
68;2006-01-04;ADSL Telefonica;40; ; ; ; ; ; ;;
69;2006-01-04;Bluetooth Conceptronic;30; ; ; ; ; ; ;;
70;2006-01-06;Electronics DAHER;30;Por Reyes;upload/20150109_200615.jpg; ; ; ; ;;
71;2006-03-14;Mando porton;46;En Alcampo. Garantia de 6 meses; ; ; ; ; ;;
72;2006-03-15;Memoria USB 256;20;ADL.. Para Josema;upload/compras_imgiPad de Juan Jose000016_1.jpg; ; ; ; ;;
73;2006-04-07;Lazer Grabador DVD-HDD;236; ;upload/Compras_imgAvantio000004.png; ; ; ; ;;
74;2006-04-15;Maleta fuelle marron;40; ;upload/compras_imgiPad de Juan Jose000017_1.jpg; ; ; ; ;;
75;2006-05-09;Multiplicador de monitor de teclado y raton;22; ; ; ; ; ; ;;
76;2006-06-02;Zip Iomega;12;Comprado en Ebay. Incluye 6 discos. ;upload/IMG_0024.JPG; ; ; ; ;;
77;2006-06-05;Portatil Airis;599; ; ; ; ; ; ;;
78;2006-06-05;Ventilador torre Ufesa;35; ; ; ; ; ; ;;
79;2006-06-09;Cartera piel marron;40; ; ; ; ; ; ;;
80;2006-06-12;Tensiometro OMRON;78; ;upload/78826-thickbox.jpg; ; ; ; ;;
81;2006-06-19;Movil Grundig Alvaro;80; ; ; ; ; ; ;;
82;2006-07-17;Aspiradora;55; ;upload/Aspiradora.jpg; ; ; ; ;;
83;2006-07-20;Impresora HP;79; ;upload/HP3070_05.jpg;upload/HP3070.png; ; ; ;;
84;2006-09-04;Teclado NGS;9;Adquirido en el centro comercial EL INGENIO en Torre del mar; ; ; ; ; ;;
85;2006-09-06;Reloj cadena plata;8;Adquirido en Torrox; ; ; ; ; ;;
86;2006-09-07;Tarjeta RAM Traveler 1Gb;30;ALDI. Linares; ; ; ; ; ;;
87;2006-10-20;Renault Megane;13700; ;upload/compras_imgiPad de Juan Jose000018_1.jpg; ; ; ; ;;
88;2006-12-22;USB 1Gb (ADL);28; ; ; ; ; ; ;;
89;2007-01-06;MP4 Inovix -Alvaro-;74; ; ; ; ; ; ;;
90;2007-01-06;Medidor de red;18; ;upload/2015-04-10 22.31.51.png; ; ; ; ;;
91;2007-06-21;Teclado para Palm Zire 72;65; ;upload/2015-04-10 22.25.04.png;upload/IMG_0020.JPG; ; ; ;;
92;2007-06-29;Movil nokia 6151 Alvaro;75;Obsequio por aprobar 1 de ESO; ; ; ; ; ;;
93;2007-07-04;Walkie Talkies TopCom;15; ;upload/2015-04-10 22.25.34.png; ; ; ; ;;
94;2007-07-17;CD auto (Peugeot);60; ; ; ; ; ; ;;
95;2007-08-16;Poratil ACER Aspire 9300;800;A 3 meses sin intereses en Alcampo;upload/Acer01.jpg; ; ; ; ;;
96;2007-12-22;Movil Nokia 6086;0;Por añadir a Alvaro al contrato; ; ; ; ; ;;
97;2008-01-06;Equipo musica NEC;179; ;upload/2015-04-11 10.27.47.png; ; ; ; ;;
98;2008-01-06;Guitarra Daytona;174; ;upload/GuitarraDaytona02.png;upload/GuitarraDaytona.jpg; ; ; ;;
